"GEOID","NAME","variable","value"
"4200369584","Shaler township, Allegheny County, Pennsylvania","P1_001N",28132
"4200369776","Sharpsburg borough, Allegheny County, Pennsylvania","P1_001N",3187
"4200372160","South Fayette township, Allegheny County, Pennsylvania","P1_001N",18358
"4200372568","South Versailles township, Allegheny County, Pennsylvania","P1_001N",310
"4200372960","Springdale borough, Allegheny County, Pennsylvania","P1_001N",3400
"4200372968","Springdale township, Allegheny County, Pennsylvania","P1_001N",1540
"4200375816","Swissvale borough, Allegheny County, Pennsylvania","P1_001N",8624
"4200376104","Tarentum borough, Allegheny County, Pennsylvania","P1_001N",4352
"4200376560","Thornburg borough, Allegheny County, Pennsylvania","P1_001N",466
"4200377912","Turtle Creek borough, Allegheny County, Pennsylvania","P1_001N",5114
"4200379274","Upper St. Clair township, Allegheny County, Pennsylvania","P1_001N",21160
"4200380032","Verona borough, Allegheny County, Pennsylvania","P1_001N",2492
"4200380600","Wall borough, Allegheny County, Pennsylvania","P1_001N",519
"4200382800","West Deer township, Allegheny County, Pennsylvania","P1_001N",12262
"4200382848","West Elizabeth borough, Allegheny County, Pennsylvania","P1_001N",403
"4200383512","West Mifflin borough, Allegheny County, Pennsylvania","P1_001N",19589
"4200384144","West View borough, Allegheny County, Pennsylvania","P1_001N",6685
"4200384440","Whitaker borough, Allegheny County, Pennsylvania","P1_001N",1179
"4200384512","Whitehall borough, Allegheny County, Pennsylvania","P1_001N",15064
"4200384704","White Oak borough, Allegheny County, Pennsylvania","P1_001N",7630
"4200385184","Wilkins township, Allegheny County, Pennsylvania","P1_001N",6350
"4200385188","Wilkinsburg borough, Allegheny County, Pennsylvania","P1_001N",14349
"4200385496","Wilmerding borough, Allegheny County, Pennsylvania","P1_001N",1781
"4200303608","Avalon borough, Allegheny County, Pennsylvania","P1_001N",4762
"4200313704","Clairton city, Allegheny County, Pennsylvania","P1_001N",6181
"4200317048","Crescent township, Allegheny County, Pennsylvania","P1_001N",2488
"4200321024","East Deer township, Allegheny County, Pennsylvania","P1_001N",1490
"4200322576","Edgeworth borough, Allegheny County, Pennsylvania","P1_001N",1669
"4200324160","Etna borough, Allegheny County, Pennsylvania","P1_001N",3437
"4200326896","Forward township, Allegheny County, Pennsylvania","P1_001N",3070
"4200329432","Glassport borough, Allegheny County, Pennsylvania","P1_001N",4475
"4200332328","Hampton township, Allegheny County, Pennsylvania","P1_001N",18479
"4200333592","Heidelberg borough, Allegheny County, Pennsylvania","P1_001N",1288
"4200337955","Jefferson Hills borough, Allegheny County, Pennsylvania","P1_001N",12424
"4200342392","Leetsdale borough, Allegheny County, Pennsylvania","P1_001N",1162
"4200356088","Oakmont borough, Allegheny County, Pennsylvania","P1_001N",6758
"4200359152","Pennsbury Village borough, Allegheny County, Pennsylvania","P1_001N",677
"4200361536","Plum borough, Allegheny County, Pennsylvania","P1_001N",27144
"4200364240","Reserve township, Allegheny County, Pennsylvania","P1_001N",3255
"4200366320","Rosslyn Farms borough, Allegheny County, Pennsylvania","P1_001N",441
"4200369416","Sewickley Hills borough, Allegheny County, Pennsylvania","P1_001N",689
"4200372400","South Park township, Allegheny County, Pennsylvania","P1_001N",13727
"4200374648","Stowe township, Allegheny County, Pennsylvania","P1_001N",6426
"4200377272","Trafford borough, Allegheny County, Pennsylvania","P1_001N",90
"4200380040","Versailles borough, Allegheny County, Pennsylvania","P1_001N",1476
"4200383200","West Homestead borough, Allegheny County, Pennsylvania","P1_001N",1872
